"Category Id";"Category Name"
"1021188";"Automobile / Lights & Lighting Accessories"
"1021731";"Automobile / Paint & Paint Supplies"
"1024768";"Baby Products / Baby Stationery"
"1025069";"Baby Products / Pregnancy & Maternity"
"1029460";"Books, Movies and Music / Bestselling Books"
"1029461";"Books, Movies and Music / Biography & Autobiography"
"1029462";"Books, Movies and Music / Journals & Planners"
"1029521";"Books, Movies and Music / Motivational & Self-Help"
"1002343";"Electronics / eBook Readers & Accessories"
"1002143";"Electronics / Headphones"
"1011910";"Gaming / Other Gaming Systems"
"1006905";"Garden & Outdoors / Outdoor Lighting"
"1020673";"Grocery / Air Fresheners"
"1018686";"Grocery / Baby"
"1020682";"Grocery / Household Batteries"
"1020579";"Grocery / Lighters & Matches"
"1024520";"Health & Beauty / Kid's Beauty"
"1024526";"Health & Beauty / Sports"
"1011865";"Pet Supplies / Small Animals"
"1008407";"Toys & Games / Building Toys"
"1008859";"Toys & Games / Party Supplies"
"1008893";"Toys & Games / Puzzles"
"1009062";"Toys & Games / Stuffed Animals & Plush Toys"
"1009069";"Toys & Games / Toy Remote Control & Play Vehicles"
"1031064";"Toys & Games / Novelty & Gag Toys"
"1020698";"Automobile / Car Care / Cleaning Kits"
"1020743";"Automobile / Car Care / Tools & Equipment"
"1020867";"Automobile / Exterior Accessories / Body Armor"
"1020915";"Automobile / Exterior Accessories / Emblems"
"1020938";"Automobile / Exterior Accessories / License Plate Covers & Frames"
"1020942";"Automobile / Exterior Accessories / Mirrors"
"1021050";"Automobile / Exterior Accessories / Trailer Accessories"
"1021089";"Automobile / Interior Accessories / Air Fresheners"
"1021118";"Automobile / Interior Accessories / Electrical Appliances"
"1021175";"Automobile / Interior Accessories / Steering Wheels & Accessories"
"1021665";"Automobile / Motorcycle & Powersports / Vehicles"
"1021692";"Automobile / Oils & Fluids / Brake Fluids"
"1021703";"Automobile / Oils & Fluids / Greases & Lubricants"
"1021724";"Automobile / Oils & Fluids / Transmission Fluids"
"1022621";"Automobile / Power & Battery / Other Power & Battery"
"1021964";"Automobile / Replacement Parts / Body & Trim"
"1022052";"Automobile / Replacement Parts / Brake System"
"1022164";"Automobile / Replacement Parts / Engine Cooling & Climate Control"
"1022265";"Automobile / Replacement Parts / Engines & Engine Parts"
"1022492";"Automobile / Replacement Parts / Fuel System"
"1022622";"Automobile / Tools & Equipment / Diagnostic, Testing & Measuring Tools"
"1022611";"Automobile / Tools & Equipment / Tire & Wheel Tools"
"1022613";"Automobile / Tyre & Rim / Car, Light Truck & SUV"
"1022614";"Automobile / Tyre & Rim / Farm & Industrial"
"1022615";"Automobile / Tyre & Rim / Inflator and guages"
"1022616";"Automobile / Tyre & Rim / Rims"
"1022617";"Automobile / Tyre & Rim / Splash guard"
"1022618";"Automobile / Tyre & Rim / Tyre"
"1022619";"Automobile / Tyre & Rim / Tyre & Rim Accessories"
"1024741";"Baby Products / Baby & Toddler Toys / Activity Play Centers"
"1024743";"Baby Products / Baby & Toddler Toys / Bath Toys"
